Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2015-09-29,19025.45,19324.25,18900.05,19235.15,93037261.0,31657399999.999996,21.42,2.9,1.36
2015-09-30,19394.7,19639.65,19341.15,19609.75,98705994.0,33892300000.0,21.84,2.95,1.34
2015-10-01,19765.1,19808.25,19629.5,19752.4,90486953.0,26573400000.0,22.0,2.87,1.62
2015-10-05,19897.9,20175.45,19897.9,20147.6,87319106.0,28829200000.0,22.44,2.93,1.59
2015-10-06,20267.95,20279.3,20129.25,20198.5,77600319.0,25870100000.000004,22.5,2.94,1.58
2015-10-07,20209.35,20261.5,20127.2,20202.35,88218023.0,24880400000.0,22.5,2.94,1.58
2015-10-08,20225.4,20239.9,19906.65,19955.75,70615980.0,20916200000.0,22.23,2.9,1.6
2015-10-09,20064.85,20121.15,19877.45,19944.3,63326094.0,22119899999.999996,22.21,2.9,1.6
2015-10-12,20022.0,20047.2,19875.2,19938.85,65979765.0,20158900000.0,22.21,2.9,1.6
2015-10-13,19991.0,19992.1,19783.65,19899.7,69771734.0,22268200000.0,22.16,2.89,1.61
2015-10-14,19913.2,19987.55,19855.0,19918.45,59071411.0,19632700000.0,22.19,2.9,1.6
2015-10-15,20017.7,20037.65,19938.4,19961.35,55347468.0,19691100000.0,22.23,2.9,1.6
2015-10-16,20030.9,20042.2,19943.7,19999.8,73710310.0,23224699999.999996,22.27,2.91,1.6
2015-10-19,20039.75,20141.85,20020.3,20133.0,58183967.0,20492600000.000004,21.39,2.83,1.61
2015-10-20,20179.8,20243.15,20052.55,20139.5,67722912.0,22551200000.0,21.37,2.83,1.61
2015-10-21,20144.6,20155.85,19948.15,20043.25,99126429.0,23985200000.0,21.27,2.81,1.62
2015-10-23,20199.85,20199.85,19931.0,19943.05,74259571.0,23197300000.0,21.21,2.8,1.63
2015-10-26,20000.85,20012.35,19825.75,19859.45,72513503.0,24609899999.999996,21.12,2.79,1.64
2015-10-27,19852.7,19938.05,19821.55,19915.0,56395032.0,20077800000.0,21.22,2.82,1.63
2015-10-28,19883.8,19957.95,19765.55,19859.25,75656126.0,25141200000.0,21.22,2.81,1.63
2015-10-29,19881.55,19881.55,19710.25,19744.55,92529062.0,37426800000.0,21.09,2.79,1.64
2015-10-30,19782.8,19908.35,19701.75,19733.6,75587132.0,26298300000.0,21.07,2.79,1.64
2015-11-02,19782.25,19785.2,19610.95,19768.0,80129113.0,21411900000.0,21.12,2.8,1.64
2015-11-03,19874.35,19899.75,19807.4,19879.65,78355584.0,23503200000.0,21.24,2.81,1.63
2015-11-04,19964.6,19991.1,19879.1,19893.3,86430021.0,26870500000.0,21.29,2.81,1.63
2015-11-05,19881.7,19881.7,19595.25,19629.3,100716965.0,23422600000.000004,20.86,2.78,1.65
2015-11-06,19622.1,19664.7,19468.35,19561.75,92211659.0,26012199999.999996,20.76,2.78,1.66
2015-11-09,19192.55,19758.5,19171.8,19679.95,76550299.0,25481000000.0,20.84,2.8,1.65
2015-11-10,19629.05,19661.35,19273.55,19311.3,105014478.0,25911100000.0,20.46,2.74,1.68
2015-11-11,19462.75,19525.1,19462.75,19509.9,9467110.0,2582900000.0,20.67,2.77,1.66
2015-11-13,19391.75,19391.75,19151.1,19268.9,98204442.0,33448900000.0,21.26,2.74,1.68
2015-11-16,19232.65,19285.75,19104.0,19163.4,72198080.0,24675000000.0,21.24,2.72,1.69
2015-11-17,19283.45,19289.1,19173.4,19275.9,69028699.0,21995400000.0,21.36,2.74,1.68
2015-11-18,19294.7,19356.6,19147.35,19182.75,63461425.0,21046200000.0,21.26,2.73,1.69
2015-11-19,19288.85,19413.35,19248.35,19397.95,63587617.0,22878600000.0,21.5,2.76,1.67
2015-11-20,19446.7,19600.25,19413.45,19534.75,69404644.0,23026700000.0,21.65,2.78,1.66
2015-11-23,19595.55,19663.15,19542.6,19577.2,68312561.0,22073300000.0,21.69,2.78,1.66
2015-11-24,19600.3,19678.6,19574.65,19607.9,87539178.0,23874400000.0,21.73,2.79,1.65
2015-11-26,19660.25,19709.4,19618.25,19627.75,112826672.0,33778600000.0,21.75,2.79,1.65
2015-11-27,19714.9,19781.3,19626.15,19681.95,80671953.0,21869400000.0,21.81,2.8,1.65
2015-11-30,19709.95,19723.0,19596.45,19616.7,222306006.0,46466700000.0,21.74,2.79,1.65
2015-12-01,19714.25,19826.95,19710.45,19819.15,79606728.0,24089200000.0,21.97,2.82,1.64
2015-12-02,19869.6,19883.0,19756.3,19842.15,77085323.0,23317199999.999996,21.99,2.82,1.63
2015-12-03,19793.1,19825.9,19671.8,19698.05,108690209.0,26994800000.0,21.83,2.8,1.65
2015-12-04,19594.0,19666.9,19513.2,19540.0,127361679.0,26247000000.0,21.66,2.78,1.66
2015-12-07,19619.95,19647.95,19541.15,19552.25,74968020.0,20433800000.0,21.67,2.78,1.66
2015-12-08,19487.6,19581.6,19340.2,19365.2,68760136.0,19220400000.0,21.46,2.75,1.67
2015-12-09,19334.75,19359.3,18991.15,19009.2,77463844.0,23948700000.0,21.07,2.7,1.71
2015-12-10,19096.15,19179.25,18937.55,19159.75,73594290.0,23594000000.0,21.23,2.72,1.69
2015-12-11,19217.1,19267.9,18943.3,19003.35,79752787.0,24400600000.0,21.06,2.7,1.71
2015-12-14,18942.95,19145.45,18875.6,19098.4,79548437.0,22768300000.0,21.17,2.71,1.7
2015-12-15,19145.35,19240.1,19110.95,19227.25,61196573.0,19150800000.0,21.31,2.73,1.69
2015-12-16,19319.5,19400.15,19279.5,19302.9,69666728.0,21130700000.0,21.4,2.74,1.68
2015-12-17,19404.8,19604.8,19378.5,19588.75,82808501.0,25723600000.0,21.71,2.78,1.65
2015-12-18,19564.65,19686.5,19538.95,19593.85,81519781.0,27367800000.000004,21.72,2.78,1.65
2015-12-21,19610.95,19748.3,19584.9,19724.75,50978168.0,17428000000.0,21.87,2.8,1.64
2015-12-22,19746.1,19803.95,19646.2,19668.3,71164910.0,17777800000.0,21.8,2.79,1.65
2015-12-23,19741.45,19793.5,19718.3,19769.5,53632206.0,15086700000.0,21.91,2.81,1.64
2015-12-24,19835.0,19836.15,19739.4,19785.15,60457861.0,18618200000.0,21.93,2.81,1.64
2015-12-28,19813.95,19889.55,19813.5,19850.1,45600675.0,15618300000.0,22.0,2.82,1.63
2015-12-29,19886.25,19940.75,19856.2,19912.5,67567091.0,22248200000.0,22.07,2.83,1.63
2015-12-30,19953.95,19972.75,19830.25,19850.0,55328709.0,19478100000.0,22.0,2.82,1.63
2015-12-31,19899.1,20005.0,19885.35,19977.05,121976894.0,39145700000.0,22.14,2.84,1.62
2016-01-01,19995.05,20182.15,19973.35,20169.45,54667934.0,19472900000.0,22.36,2.87,1.61
2016-01-04,20125.25,20263.7,19891.75,19956.85,90426157.0,27852600000.000004,22.12,2.84,1.62
2016-01-05,20031.05,20085.4,19925.6,20068.75,88504950.0,29740100000.000004,22.25,2.85,1.62
2016-01-06,20089.9,20184.65,19956.65,20008.7,85270914.0,30499400000.0,22.18,2.84,1.62
2016-01-07,19832.3,19842.2,19363.25,19408.15,87133988.0,27997100000.0,21.51,2.76,1.67
2016-01-08,19522.05,19674.2,19485.05,19598.75,62296951.0,23673200000.0,21.73,2.78,1.65
2016-01-11,19483.55,19530.85,19275.8,19379.8,68159815.0,21946800000.0,21.48,2.75,1.67
2016-01-12,19439.35,19494.6,19234.7,19263.85,98414001.0,22949699999.999996,21.35,2.74,1.68
2016-01-13,19378.65,19435.5,18819.4,19197.2,112321464.0,29961800000.0,21.28,2.73,1.69
