IMDB_titleID,IMDB_rating,IMDB_title_name
/title/tt8422396/,6.6 based on 101 user ratings, Cabins in the Wild with Dick Strawbridge (2017) (TV Mini-Series) 
Not Found,Not Found,Not Found
/title/tt7477108/,7.3 based on 372 user ratings, Eeda (2018) 
/title/tt6467500/,6.6 based on 179 user ratings, Galih dan Ratna (2017) 
/title/tt0459327/,7.6 based on 793 user ratings, Gie (2005) 
/title/tt8011288/,7.3 based on 619 user ratings, Goli Soda 2 (2018) 
Not Found,Not Found,Not Found
/title/tt6743832/,5.6 based on 269 user ratings, Inside the Freemasons (2017) (TV Series) 
Not Found,Not Found,Not Found
/title/tt8914956/,7.0 based on 14 user ratings, Maj Rati Keteki (2017) 
/title/tt7570242/,7.1 based on 238 user ratings, Mayurakshi (2017) 
/title/tt7792194/,7.3 based on 47 user ratings," Red Oliender's Roktokorobi (2017) aka ""Red Oleanders Raktokarobi"" "
/title/tt7746986/,7.6 based on 455 user ratings, Samantaral (2017) 
Not Found,Not Found,Not Found
/title/tt4882376/,"7.2 based on 12,190 user ratings", First They Killed My Father (2017) 
/title/tt2856930/,"6.6 based on 2,558 user ratings"," Gagarin. Pervyy v kosmose (2013) aka ""Gagarin: First in Space"" "
/title/tt5960464/,"7.1 based on 1,324 user ratings", Janaan (2016) 
/title/tt4797160/,3.4 based on 815 user ratings, Larceny (2017) 
Not Found,Not Found,Not Found
/title/tt5873150/,"6.4 based on 3,092 user ratings", Strong Island (2017) 
/title/tt4370528/,"7.7 based on 6,597 user ratings", The Five (2016) (TV Mini-Series) 
/title/tt3671086/,"3.6 based on 3,538 user ratings", Natural Born Pranksters (2016) 
/title/tt2407418/,6.4 based on 352 user ratings, Sample This (2012) 
/title/tt6921208/,6.3 based on 13 user ratings, Wartime Portraits (2014) (TV Series) 
/title/tt3302820/,"8.3 based on 19,144 user ratings", Cowspiracy: The Sustainability Secret (2014) 
/title/tt9348296/,"7.4 based on 1,280 user ratings"," Oh Baby (2019) aka ""Oh! Baby"" "
/title/tt10924716/,7.6 based on 336 user ratings, The Crystal Calls - Making the Dark Crystal: Age of Resistance (2019) 
/title/tt5952138/,"5.6 based on 3,797 user ratings", We Have Always Lived in the Castle (2018) 
/title/tt0470451/,5.5 based on 62 user ratings," Nor chor (2002) aka ""Bangkok Hell"" "
/title/tt0032246/,5.4 based on 36 user ratings, Behind the News (1940) 
Not Found,Not Found,Not Found
/title/tt8893546/,6.4 based on 168 user ratings," Boca Juniors Confidencial (2018) (TV Series) aka ""Boca Juniors Confidential"" "
/title/tt8893550/,"8.7 based on 3,497 user ratings", Car Masters: Rust to Riches (2018) (TV Series) 
/title/tt8139862/,"8.7 based on 2,644 user ratings", Norm Macdonald Has a Show (2018) (TV Series) 
Not Found,Not Found,Not Found
/title/tt10370958/,7.0 based on 21 user ratings, Super Monsters Monster Pets (2019) (TV Series) 
/title/tt5968274/,"6.6 based on 9,722 user ratings", The Angel (2018) 
/title/tt6485928/,"6.2 based on 5,025 user ratings", The Land of Steady Habits (2018) 
/title/tt7052634/,8.7 based on 909 user ratings," Tian sheng chang ge (2018) (TV Series) aka ""The Rise of Phoenixes"" "
Not Found,Not Found,Not Found
/title/tt10255320/,3.5 based on 224 user ratings, Deviant Love (2019) 
/title/tt7350614/,"5.3 based on 2,436 user ratings", Head Count (2018) 
/title/tt10847138/,"4.2 based on 1,368 user ratings"," Hello, Privilege. It's Me, Chelsea (2019) (TV Special) "
/title/tt10253816/,6.7 based on 333 user ratings," Kabaneri of the Iron Fortress: Unato Decisive Battle (2019) aka ""Kabaneri of the Iron Fortress: The Battle of Unato"" "
/title/tt8493514/,"6.3 based on 2,559 user ratings"," Hedefim Sensin (2018) aka ""Locked on You"" "
/title/tt10875696/,"7.5 based on 8,613 user ratings", Marianne (2019) (TV Series) 
/title/tt8655736/,8.0 based on 969 user ratings, Monarca (2019) (TV Series) 
/title/tt6628322/,"4.2 based on 1,389 user ratings", Shanghai Fortress (2019) 
/title/tt9252508/,"5.2 based on 13,002 user ratings", Tall Girl (2019) 
Not Found,Not Found,Not Found
/title/tt1830379/,"8.4 based on 9,843 user ratings", Top Boy (2011) (TV Series) 
/title/tt7909970/,"8.5 based on 45,885 user ratings", Unbelievable (2019) (TV Mini-Series) 
/title/tt8948614/,7.3 based on 785 user ratings, Reversing Roe (2018) 
Not Found,Not Found,Not Found
Not Found,Not Found,Not Found
/title/tt9067020/,"4.4 based on 11,881 user ratings", The I-Land (2019) (TV Series) 
/title/tt10810430/,"8.1 based on 2,037 user ratings"," The Mind, Explained (2019) (TV Mini-Series) "
/title/tt1860353/,"6.4 based on 78,149 user ratings", Turbo (2013) 
/title/tt5442430/,"6.6 based on 191,806 user ratings", Life (I) (2017) 
/title/tt7121252/,"7.3 based on 5,783 user ratings", On My Skin: The Last Seven Days of Stefano Cucchi (2018) 
/title/tt7389366/,"6.8 based on 2,013 user ratings", Heroin(e) (2017) (Short) 
/title/tt7364706/,"6.4 based on 1,021 user ratings", Jeff Dunham: Relative Disaster (2017) (TV Special) 
/title/tt8858472/,"8.5 based on 1,672 user ratings", Daniel Sloss: Live Shows (2018) (TV Series) 
/title/tt6747878/,Not Found, Sleeping in a Cage Like an Animal: Our Adoptive Parents Were Convicted of Child Endangerment (2017) (TV Episode)  - Season 15 | Episode 146  - Dr. Phil (2002) (TV Series)  
/title/tt4610378/,"6.9 based on 6,042 user ratings", The Resistance Banker (2018) 
Not Found,Not Found,Not Found
/title/tt10847306/,"8.2 based on 6,401 user ratings", Bill Burr: Paper Tiger (2019) (TV Special) 
/title/tt0879870/,"5.8 based on 81,693 user ratings", Eat Pray Love (2010) 
Not Found,Not Found,Not Found
/title/tt10095336/,6.8 based on 719 user ratings, Our Godfather (2019) 
/title/tt10686814/,7.7 based on 215 user ratings, Terrace House: Tokyo 2019-2020 (2019) (TV Series) 
